codigo_interno,nombre_municipio,departamento_nombre,cluster,censo,validos,no_votantes,blanco,no_marcados,votos_cepeda,pct_cepeda,votos_espriella,pct_espriella,votos_dignidad,brecha_vs_espriella,margen_pct
25061,OCAÑA,NORTE DE SAN,Catatumbo / Frontera,90395,55721,34674,776,70,13256,23.78,37018,66.43,2219,23762,-42.650000000000006
01163,LA CEJA,ANTIOQUIA,Antioquia rural uribista,61559,46228,15331,688,118,8622,18.65,27398,59.26,4224,18776,-40.61
01178,MARINILLA,ANTIOQUIA,Antioquia rural uribista,53575,38218,15357,506,74,7013,18.34,23357,61.11,3051,16344,-42.769999999999996
40001,ARAUCA,ARAUCA,Llanos petroleros,81993,35371,46622,680,65,7194,20.33,22710,64.2,1044,15516,-43.870000000000005
01256,SANTUARIO,ANTIOQUIA,Antioquia rural uribista,31144,21930,9214,248,63,2126,9.69,16197,73.85,1197,14071,-64.16
01142,GUARNE,ANTIOQUIA,Antioquia rural uribista,45144,31950,13194,597,74,6465,20.23,18974,59.38,2315,12509,-39.150000000000006
27121,LEBRIJA,SANTANDER,Santanderes rurales,37400,24148,13252,387,38,4555,18.86,16595,68.72,681,12040,-49.86
19034,GARZON,HUILA,Sur Tolima-Huila-Caquetá,61091,36725,24366,694,77,10038,27.33,21897,59.62,936,11859,-32.29
01082,CARMEN DE VIBORAL,ANTIOQUIA,Antioquia rural uribista,47585,34268,13317,574,78,7719,22.52,19259,56.2,2804,11540,-33.68000000000001
27181,SAN GIL,SANTANDER,Santanderes rurales,46902,32677,14225,448,23,8703,26.63,19168,58.65,1436,10465,-32.019999999999996
88815,VENEZUELA,CONSULADOS,Exterior (consulados),180782,21601,159181,71,69,4352,20.14,14313,66.26,199,9961,-46.120000000000005
25038,EL ZULIA,NORTE DE SAN,Catatumbo / Frontera,25533,14826,10707,156,29,1716,11.57,11657,78.62,311,9941,-67.05000000000001
25064,PAMPLONA,NORTE DE SAN,Catatumbo / Frontera,49125,29249,19876,594,43,7507,25.66,16850,57.6,1975,9343,-31.94
01211,RETIRO,ANTIOQUIA,Antioquia rural uribista,23005,17556,5449,160,29,2139,12.18,11323,64.49,916,9184,-52.309999999999995
46680,PAZ DE ARIPORO (MORENO),CASANARE,Llanos petroleros,28280,17374,10906,267,56,3152,18.14,11987,68.99,236,8835,-50.849999999999994
25004,ABREGO,NORTE DE SAN,Catatumbo / Frontera,25508,13390,12118,150,30,1960,14.63,10197,76.15,300,8237,-61.52
25085,SARDINATA,NORTE DE SAN,Catatumbo / Frontera,20495,10643,9852,100,30,947,8.89,8716,81.89,165,7769,-73.0
01019,ANDES,ANTIOQUIA,Antioquia rural uribista,36323,17551,18772,246,51,2566,14.62,10148,57.82,584,7582,-43.2
27199,SOCORRO,SANTANDER,Santanderes rurales,25555,17107,8448,181,10,3380,19.75,10882,63.61,558,7502,-43.86
01262,SONSON,ANTIOQUIA,Antioquia rural uribista,28172,16099,12073,231,84,1679,10.42,9028,56.07,618,7349,-45.65
05095,SANTA ROSA DEL SUR,BOLIVAR,Caribe + Magdalena Medio,27828,14429,13399,312,29,2799,19.39,10104,70.02,281,7305,-50.629999999999995
27193,SAN VICENTE DE CHUCURI,SANTANDER,Magdalena Medio,25189,14804,10385,219,40,2998,20.25,10055,67.92,288,7057,-47.67
01250,SANTA ROSA DE OSOS,ANTIOQUIA,Antioquia rural uribista,29562,17012,12550,449,118,2427,14.26,9396,55.23,1183,6969,-40.97
01235,SAN PEDRO,ANTIOQUIA,Antioquia rural uribista,24029,14712,9317,364,31,2106,14.31,9059,61.57,1080,6953,-47.26
15328,VILLETA,CUNDINAMARCA,Bogotá región,25415,16417,8998,262,21,3650,22.23,10548,64.25,447,6898,-42.019999999999996
19004,ACEVEDO,HUILA,Sur Tolima-Huila-Caquetá,23609,12760,10849,188,29,2115,16.57,8820,69.12,199,6705,-52.550000000000004
27172,RIONEGRO,SANTANDER,Santanderes rurales,24677,14354,10323,258,43,2849,19.84,9499,66.17,300,6650,-46.33
46850,TAURAMENA,CASANARE,Llanos petroleros,20292,14514,5778,261,28,3174,21.86,9652,66.5,332,6478,-44.64
29079,MELGAR,TOLIMA,Sur Tolima-Huila-Caquetá,32868,19657,13211,322,23,5201,26.45,11627,59.14,444,6426,-32.69
15190,PACHO,CUNDINAMARCA,Bogotá región,23506,14844,8662,235,34,2990,20.14,9225,62.14,450,6235,-42.0
01196,PEÑOL,ANTIOQUIA,Antioquia rural uribista,18903,11750,7153,147,35,1624,13.82,7725,65.74,658,6101,-51.919999999999995
01244,SAN VICENTE,ANTIOQUIA,Antioquia rural uribista,17686,11570,6116,169,55,1325,11.45,7424,64.16,615,6099,-52.709999999999994
01295,YARUMAL,ANTIOQUIA,Antioquia rural uribista,35286,16156,19130,496,83,3096,19.16,9119,56.44,1239,6023,-37.28
25028,CHINACOTA,NORTE DE SAN,Catatumbo / Frontera,16039,9971,6068,124,13,1455,14.59,7401,74.22,314,5946,-59.629999999999995
01058,BOLIVAR,ANTIOQUIA,Antioquia rural uribista,23887,11749,12138,179,48,1642,13.97,7523,64.03,333,5881,-50.06
15325,VILLAPINZON,CUNDINAMARCA,Bogotá región,14633,10781,3852,202,19,1564,14.5,7402,68.65,447,5838,-54.150000000000006
27071,EL CARMEN,SANTANDER,Santanderes rurales,12560,7881,4679,78,19,662,8.39,6433,81.62,93,5771,-73.23
25094,TOLEDO,NORTE DE SAN,Catatumbo / Frontera,13192,7751,5441,104,31,771,9.94,6179,79.71,193,5408,-69.77
31070,LA UNION,VALLE,Valle del Cauca,28211,16123,12088,337,57,3996,24.78,9339,57.92,601,5343,-33.14
01112,DON MATIAS,ANTIOQUIA,Antioquia rural uribista,19227,9737,9490,230,42,1263,12.97,6501,66.76,496,5238,-53.790000000000006
88655,PANAMA,CONSULADOS,Exterior (consulados),29196,11028,18168,62,3,2052,18.6,7161,64.93,448,5109,-46.330000000000005
01169,LA UNION,ANTIOQUIA,Antioquia rural uribista,20530,13913,6617,299,40,2392,17.19,7448,53.53,1276,5056,-36.34
01094,COCORNA,ANTIOQUIA,Antioquia rural uribista,14802,8669,6133,105,74,1017,11.73,5912,68.19,251,4895,-56.459999999999994
01283,URRAO,ANTIOQUIA,Antioquia rural uribista,26022,10593,15429,279,61,1979,18.68,6415,60.55,377,4436,-41.87
19088,TIMANA,HUILA,Sur Tolima-Huila-Caquetá,17287,9931,7356,170,23,1979,19.92,6361,64.05,231,4382,-44.129999999999995
09004,AGUADAS,CALDAS,Eje cafetero,18959,10770,8189,178,67,1608,14.93,5965,55.38,349,4357,-40.45
19076,SUAZA,HUILA,Sur Tolima-Huila-Caquetá,16582,9072,7510,140,22,2001,22.05,6145,67.73,142,4144,-45.68000000000001
25073,SALAZAR,NORTE DE SAN,Catatumbo / Frontera,10114,5598,4516,37,15,464,8.28,4599,82.15,109,4135,-73.87
27074,EL PLAYON,SANTANDER,Santanderes rurales,13298,7470,5828,81,25,1308,17.51,5301,70.96,111,3993,-53.44999999999999
15151,LA VEGA,CUNDINAMARCA,Bogotá región,14607,9552,5055,115,10,2079,21.76,6072,63.56,285,3993,-41.8
01139,GRANADA,ANTIOQUIA,Antioquia rural uribista,9972,5906,4066,53,27,589,9.97,4553,77.09,178,3964,-67.12
01226,SAN CARLOS,ANTIOQUIA,Antioquia rural uribista,15633,8722,6911,113,30,1498,17.17,5447,62.45,284,3949,-45.28
52050,RESTREPO,META,Llanos petroleros,18511,11625,6886,124,13,3030,26.06,6950,59.78,409,3920,-33.72
15061,CHOACHI,CUNDINAMARCA,Bogotá región,12177,8443,3734,116,16,1695,20.07,5595,66.26,279,3900,-46.190000000000005
52040,GUAMAL,META,Llanos petroleros,13923,10270,3653,158,30,2443,23.78,6331,61.64,302,3888,-37.86
27130,MALAGA,SANTANDER,Santanderes rurales,16429,10681,5748,166,18,2551,23.88,6427,60.17,426,3876,-36.290000000000006
01237,SAN PEDRO DE URABA,ANTIOQUIA,Urabá,29573,11431,18142,199,56,3017,26.39,6831,59.75,159,3814,-33.36
